lambda flux fluxErr
10035.6110 3.31166e-17 2.08108e-18
10036.6970 3.20324e-17 2.07804e-18
10037.7830 3.24643e-17 2.10504e-18
10038.8690 3.26949e-17 2.05751e-18
10039.9550 3.24965e-17 2.04576e-18
10041.0410 3.34866e-17 2.10631e-18
10042.1270 3.38798e-17 2.13246e-18
10043.2130 3.36580e-17 2.12192e-18
10044.2990 3.46321e-17 2.28851e-18
10045.3850 3.41985e-17 2.30718e-18
10046.4710 3.32671e-17 2.13799e-18
10047.5570 3.43539e-17 2.19927e-18
10048.6430 3.58426e-17 2.33927e-18
10049.7290 3.44679e-17 2.20211e-18
10050.8140 3.33704e-17 2.09334e-18
10051.9000 3.50301e-17 2.22158e-18
10052.9860 3.51541e-17 2.23042e-18
10054.0720 3.45917e-17 2.17050e-18
10055.1580 3.46665e-17 2.17492e-18
10056.2440 3.36233e-17 2.10949e-18
10057.3300 3.31680e-17 2.08133e-18
10058.4160 3.32218e-17 2.08487e-18
10059.5020 3.32335e-17 2.09261e-18
10060.5880 3.30254e-17 2.09892e-18
10061.6740 3.35982e-17 2.17555e-18
10062.7600 3.36898e-17 2.25012e-18
10063.8460 3.37453e-17 2.25386e-18
10064.9320 3.16832e-17 2.28508e-18
10066.0180 3.23653e-17 2.18322e-18
10067.1040 3.28080e-17 2.08149e-18
10068.1900 3.24837e-17 2.06809e-18
10069.2760 3.35416e-17 2.12407e-18
10070.3620 3.37205e-17 2.13808e-18
10071.4480 3.35711e-17 2.13801e-18
10072.5340 3.38023e-17 2.15565e-18
10073.6200 3.46519e-17 2.20899e-18
10074.7060 3.38573e-17 2.15360e-18
10075.7920 3.34215e-17 2.11379e-18
10076.8780 3.38627e-17 2.12838e-18
10077.9640 3.39671e-17 2.13172e-18
10079.0500 3.39119e-17 2.12863e-18
10080.1360 3.37790e-17 2.12138e-18
10081.2220 3.37973e-17 2.12332e-18
10082.3080 3.32614e-17 2.12100e-18
10083.3940 3.47371e-17 2.32633e-18
10084.4800 3.52105e-17 2.40979e-18
10085.5660 3.42014e-17 2.35650e-18
10086.6520 3.41316e-17 2.32983e-18
10087.7380 3.35794e-17 2.18515e-18
10088.8240 3.44747e-17 2.16819e-18
10089.9100 3.36805e-17 2.11339e-18
10090.9950 3.42548e-17 2.14950e-18
10092.0810 3.47054e-17 2.17817e-18
10093.1670 3.29063e-17 2.06578e-18
10094.2530 3.28355e-17 2.06136e-18
10095.3390 3.31346e-17 2.07898e-18
10096.4250 3.33597e-17 2.09380e-18
10097.5110 3.32678e-17 2.09041e-18
10098.5970 3.41337e-17 2.14576e-18
10099.6830 3.32652e-17 2.09268e-18
10100.7690 3.44302e-17 2.16501e-18
10101.8550 3.53288e-17 2.22003e-18
10102.9410 3.46199e-17 2.17683e-18
10104.0270 3.38706e-17 2.16664e-18
10105.1130 3.39811e-17 2.21999e-18
10106.1990 3.44347e-17 2.25263e-18
10107.2850 3.42497e-17 2.23993e-18
10108.3710 3.40912e-17 2.19704e-18
10109.4570 3.43225e-17 2.16143e-18
10110.5430 3.34536e-17 2.09820e-18
10111.6290 3.38280e-17 2.12108e-18
10112.7150 3.38145e-17 2.12008e-18
10113.8010 3.40988e-17 2.13803e-18
10114.8870 3.38747e-17 2.12384e-18
10115.9730 3.30064e-17 2.07017e-18
10117.0590 3.28689e-17 2.06099e-18
10118.1450 3.33577e-17 2.09137e-18
10119.2310 3.28749e-17 2.06122e-18
10120.3170 3.29266e-17 2.06471e-18
10121.4030 3.28795e-17 2.06248e-18
10122.4890 3.32763e-17 2.08890e-18
10123.5750 3.36464e-17 2.13159e-18
10124.6610 3.34342e-17 2.24212e-18
10125.7470 3.30419e-17 2.32459e-18
10126.8330 3.51531e-17 2.45478e-18
10127.9190 3.42269e-17 2.38542e-18
10129.0050 3.46408e-17 2.55873e-18
10130.0900 3.32727e-17 2.15760e-18
10131.1760 3.35375e-17 2.10357e-18
10132.2620 3.32059e-17 2.08364e-18
10133.3480 3.29318e-17 2.10433e-18
10134.4340 3.32846e-17 2.15035e-18
10135.5200 3.39950e-17 2.14325e-18
10136.6060 3.26405e-17 2.05908e-18
10137.6920 3.27176e-17 2.05926e-18
10138.7780 3.30172e-17 2.07369e-18
10139.8640 3.22534e-17 2.02433e-18
10140.9500 3.26586e-17 2.04910e-18
10142.0360 3.22530e-17 2.02341e-18
10143.1220 3.30349e-17 2.07271e-18
10144.2080 3.32276e-17 2.09036e-18
10145.2940 3.33917e-17 2.10726e-18
10146.3800 3.33218e-17 2.11872e-18
10147.4660 3.27319e-17 2.08680e-18
10148.5520 3.22484e-17 2.04140e-18
10149.6380 3.26385e-17 2.06583e-18
10150.7240 3.30782e-17 2.09530e-18
10151.8100 3.29084e-17 2.08131e-18
10152.8960 3.37260e-17 2.14374e-18
