lambda flux fluxErr
10147.4660 1.75414e-18 4.50759e-19
10148.5520 2.06379e-18 4.36274e-19
10149.6380 1.41778e-18 4.17637e-19
10150.7240 7.20142e-19 4.38854e-19
10151.8100 9.17260e-19 4.35239e-19
10152.8960 8.92626e-19 5.20341e-19
10153.9820 8.87178e-19 7.83983e-19
10155.0680 1.21907e-18 8.34088e-19
10156.1540 1.49939e-18 8.36701e-19
10157.2400 5.11951e-19 7.94091e-19
10158.3260 9.66047e-19 5.60444e-19
10159.4120 2.19193e-18 5.12859e-19
10160.4980 1.05311e-18 5.24636e-19
10161.5840 2.25428e-18 5.35223e-19
10162.6700 1.69488e-18 5.53873e-19
10163.7560 1.40692e-18 4.39451e-19
10164.8420 1.19617e-18 3.65929e-19
10165.9280 1.74662e-18 4.45791e-19
10167.0140 1.29818e-18 4.33491e-19
10168.1000 1.46765e-18 4.60025e-19
10169.1860 1.76626e-18 4.53688e-19
10170.2710 1.49742e-18 3.60903e-19
10171.3570 1.44912e-18 5.31904e-19
10172.4430 2.72875e-18 1.06468e-18
10173.5290 3.18141e-18 1.38781e-18
10174.6150 1.74985e-18 1.39579e-18
10175.7010 2.25886e-18 1.34892e-18
10176.7870 2.74939e-18 1.06417e-18
10177.8730 1.31841e-18 6.86494e-19
10178.9590 1.35827e-18 3.93266e-19
10180.0450 1.16571e-18 2.40056e-19
10181.1310 1.35102e-18 3.42638e-19
10182.2170 1.41560e-18 5.26898e-19
10183.3030 9.74796e-19 5.66720e-19
10184.3890 1.80764e-18 5.82320e-19
10185.4750 1.69526e-18 5.54960e-19
10186.5610 2.03414e-18 4.14703e-19
10187.6470 1.80384e-18 3.22835e-19
10188.7330 1.76541e-18 3.29321e-19
10189.8190 1.59247e-18 5.80251e-19
10190.9050 1.54362e-18 9.40024e-19
10191.9910 1.63516e-18 1.02377e-18
10193.0770 9.99671e-19 1.02276e-18
10194.1630 1.69966e-18 9.41452e-19
10195.2490 1.38523e-18 5.94592e-19
10196.3350 2.11395e-18 3.26082e-19
10197.4210 1.64078e-18 2.96338e-19
10198.5070 9.99925e-19 2.86282e-19
10199.5930 1.05512e-18 2.85230e-19
10200.6790 1.03306e-18 2.80013e-19
10201.7650 1.04895e-18 2.86345e-19
10202.8510 1.35140e-18 3.80236e-19
10203.9370 5.10703e-19 5.97500e-19
10205.0230 6.12781e-19 6.87557e-19
10206.1090 1.04457e-18 6.96728e-19
10207.1950 1.33221e-18 6.72962e-19
10208.2810 1.77958e-18 5.68951e-19
10209.3670 1.17513e-18 9.15030e-19
10210.4520 1.03664e-18 1.06298e-18
10211.5380 -4.90671e-19 -1.56018e-18
10212.6240 -2.12974e-19 -1.36408e-18
10213.7100 2.61483e-18 1.29474e-18
10214.7960 1.09464e-18 1.17239e-18
10215.8820 8.07199e-19 9.16068e-19
10216.9680 1.35579e-18 4.16536e-19
10218.0540 1.43219e-18 2.53937e-19
10219.1400 1.36804e-18 2.42177e-19
10220.2260 1.38718e-18 2.48167e-19
10221.3120 1.33188e-18 2.67255e-19
10222.3980 1.69199e-18 3.14049e-19
10223.4840 1.49300e-18 3.12334e-19
10224.5700 1.74070e-18 3.00317e-19
10225.6560 2.32046e-18 4.95251e-19
10226.7420 2.79141e-18 8.62538e-19
10227.8280 1.22891e-18 9.93691e-19
10228.9140 1.07066e-18 1.34735e-18
10230.0000 1.31046e-18 1.30119e-18
10231.0860 1.83391e-18 1.06047e-18
10232.1720 3.82801e-19 7.01644e-19
10233.2580 2.32328e-18 7.22596e-19
10234.3440 2.35367e-18 7.38101e-19
10235.4300 1.81251e-18 6.25376e-19
10236.5160 1.66793e-18 3.78673e-19
10237.6020 1.30977e-18 2.99254e-19
10238.6880 1.03451e-18 2.74031e-19
10239.7740 1.26906e-18 2.53196e-19
10240.8600 1.36744e-18 2.34230e-19
10241.9460 1.14888e-18 2.25876e-19
10243.0320 1.42416e-18 2.32167e-19
10244.1180 1.84481e-18 2.47031e-19
10245.2040 1.78485e-18 2.49431e-19
10246.2900 1.59298e-18 2.38986e-19
10247.3760 1.87087e-18 2.48551e-19
10248.4620 1.68752e-18 2.50844e-19
10249.5480 1.38187e-18 2.38141e-19
10250.6330 1.46959e-18 2.49242e-19
10251.7190 1.51237e-18 2.51466e-19
10252.8050 1.35958e-18 2.24831e-19
