       9750.0000         -NaN         -NaN             NaN
       10145.294      19467.6      140.320       19467.597
       10146.380      19527.9      140.663       19527.872
       10147.466      19397.6      140.266       19397.583
       10148.552      19499.7      140.618       19499.698
       10149.638      19476.2      140.519       19476.192
       10150.724      19312.9      139.996       19312.933
       10151.810      19376.9      140.146       19376.890
       10152.896      19391.2      140.177       19391.223
       10153.982      19622.4      141.179       19622.408
       10155.068      19721.6      141.702       19721.621
       10156.154      19836.5      142.012       19836.549
       10157.240      19674.8      141.474       19674.777
       10158.326      19687.2      141.310       19687.167
       10159.412      19679.8      141.201       19679.803
       10160.498      19685.8      141.505       19685.764
       10161.584      19739.7      141.347       19739.725
       10162.670      19631.9      141.113       19631.895
       10163.756      19511.3      140.582       19511.302
       10164.842      19828.1      141.640       19828.125
       10165.928      19814.5      141.712       19814.475
       10167.014      19700.1      141.213       19700.092
       10168.100      19684.2      141.164       19684.231
       10169.186      19892.7      141.880       19892.665
       10170.271      19840.1      141.731       19840.149
       10171.357      19763.4      141.556       19763.422
       10172.443      19778.3      142.011       19778.344
       10173.529      19659.5      142.005       19659.527
       10174.615      19686.8      142.141       19686.822
       10175.701      19891.3      142.803       19891.340
       10176.787      19840.5      142.366       19840.517
       10177.873      19826.0      141.706       19825.963
       10178.959      19932.9      141.837       19932.886
       10180.045      20033.4      142.211       20033.421
       10181.131      19894.4      141.678       19894.366
       10182.217      19902.7      141.942       19902.666
       10183.303      20005.3      142.298       20005.334
       10184.389      20052.2      142.474       20052.200
       10185.475      19670.1      141.087       19670.124
       10186.561      19475.4      140.283       19475.444
       10187.647      19795.7      141.398       19795.673
       10188.733      19939.6      141.813       19939.627
       10189.819      20056.4      142.475       20056.401
       10190.905      20046.3      142.752       20046.320
       10191.991      20059.5      142.997       20059.516
       10193.077      20071.3      142.941       20071.257
       10194.163      19954.0      142.437       19953.977
       10195.249      19888.1      141.800       19888.135
       10196.335      20111.8      142.384       20111.771
       10197.421      20029.2      141.705       20029.178
       10198.507      19931.3      141.803       19931.290
       10199.593      20087.0      142.451       20086.991
       10200.679      19487.6      140.337       19487.566
       10201.765      19240.1      139.385       19240.085
       10202.851      19771.0      141.128       19770.962
       10203.937      20138.5      142.595       20138.459
       10205.023      20045.8      142.540       20045.789
       10206.109      20025.2      142.568       20025.208
       10207.195      19860.3      141.825       19860.253
       10208.281      20020.8      142.258       20020.791
       10209.367      19964.8      142.029       19964.817
       10210.452      20086.6      142.716       20086.649
       10211.538      19978.9      142.562       19978.890
       10212.624      20107.3      143.487       20107.259
       10213.710      20099.1      143.397       20099.120
       10214.796      20082.9      143.194       20082.854
       10215.882      20040.1      142.831       20040.120
       10216.968      19897.9      141.958       19897.896
       10218.054      19983.7      142.171       19983.662
       10219.140      20061.5      142.495       20061.453
       10220.226      20026.4      142.264       20026.363
       10221.312      19972.6      142.149       19972.627
       10222.398      20140.1      142.718       20140.096
       10223.484      20205.1      142.945       20205.115
       10224.570      20068.7      142.452       20068.692
       10225.656      20099.1      142.737       20099.120
       10226.742      20101.5      142.972       20101.495
       10227.828      19980.1      142.571       19980.054
       10228.914      19988.6      142.632       19988.621
       10230.000      20122.1      143.178       20122.146
       10231.086      20129.2      142.922       20129.209
       10232.172      19982.1      142.443       19982.147
       10233.258      19856.8      142.008       19856.760
       10234.344      19943.0      142.339       19943.030
       10235.430      20043.7      142.542       20043.652
       10236.516      20159.7      142.937       20159.723
       10237.602      20193.6      142.929       20193.576
       10238.688      20044.0      142.350       20044.048
       10239.774      19906.8      141.581       19906.831
       10240.860      20024.1      142.253       20024.147
       10241.946      20047.1      142.346       20047.118
       10243.032      20052.8      142.555       20052.781
       10244.118      19907.6      141.963       19907.609
       10245.204      19899.6      141.821       19899.604
       10246.290      20077.2      141.756       20077.239
       10247.376      19946.4      141.983       19946.399
       10248.462      20007.2      142.076       20007.208
       10249.548      20153.6      142.570       20153.597
       10250.633      20161.1      142.395       20161.128
       10251.719      20121.3      142.365       20121.336
       10252.805      19912.6      141.640       19912.584
       10253.891      19881.2      141.587       19881.186
       10254.977      20122.2      142.312       20122.233
       10256.063      20046.5      142.143       20046.514
       10257.149      19911.2      141.745       19911.225
       10258.235      19610.6      140.930       19610.561
       10259.321      19702.6      141.232       19702.588
       10260.407      20048.6      142.408       20048.642
       10261.493      20068.9      142.362       20068.866
       10262.579      19854.8      141.626       19854.838
       10263.665      19944.5      141.919       19944.514
       10264.751      19931.4      141.928       19931.437
       10265.837      19874.5      141.728       19874.489
       10266.923      19855.4      141.770       19855.416
       10268.009      19846.1      141.662       19846.129
       10269.095      19782.0      141.439       19782.022
       10270.181      19958.8      142.061       19958.788
       10271.267      19822.5      141.635       19822.523
       10272.353      19802.4      141.501       19802.414
       10273.439      19850.5      141.815       19850.546
       10274.525      19769.7      141.227       19769.710
       10275.611      19804.0      141.505       19804.034
       10276.697      19828.5      141.436       19828.506
       10277.783      19692.3      141.016       19692.284
       10278.869      19649.0      140.748       19649.029
       10279.955      19794.2      141.468       19794.201
       10281.041      19697.1      141.055       19697.138
       10282.127      19512.5      140.412       19512.534
       10283.213      19854.6      141.517       19854.560
       10284.299      19876.4      141.750       19876.404
       10285.385      19901.4      141.752       19901.405
       10286.471      19588.3      141.185       19588.255
       10287.557      19704.5      142.472       19704.516
       10288.643      19705.4      143.035       19705.364
       10289.729      19457.6      142.007       19457.641
       10290.814      19534.6      142.189       19534.565
       10291.900      19748.1      142.072       19748.118
       10292.986      19836.9      141.763       19836.943
       10294.072      19729.5      141.352       19729.477
       10295.158      19559.2      140.855       19559.191
       10296.244      19614.7      141.036       19614.707
       10297.330      19205.7      140.746       19205.670
       10298.416      19284.7      140.522       19284.714
       10299.502      19519.2      141.093       19519.183
       10300.588      19577.2      141.134       19577.175
       10301.674      19668.4      141.186       19668.417
       10302.760      19622.5      140.888       19622.481
       10303.846      19477.7      140.381       19477.691
       10304.932      19206.3      139.362       19206.305
       10306.018      19552.4      140.710       19552.355
       10307.104      19533.0      140.447       19532.980
       10308.190      19338.0      139.924       19338.010
       10309.276      19515.9      140.421       19515.876
       10310.362      19516.2      140.639       19516.233
       10311.448      18717.7      137.882       18717.696
       10312.534      18765.8      138.094       18765.801
       10313.620      19501.6      140.659       19501.646
       10314.706      19471.7      140.448       19471.684
       10315.792      19590.0      140.703       19590.000
