       9750.0000         -NaN         -NaN             NaN
       10032.353      38478.7      200.641       38478.713
       10033.439      38555.9      200.725       38555.859
       10034.525      38242.7      199.871       38242.695
       10035.611      37806.9      198.975       37806.861
       10036.697      37323.5      198.004       37323.544
       10037.783      36562.4      196.101       36562.429
       10038.869      36220.7      195.193       36220.716
       10039.955      35586.1      193.156       35586.071
       10041.041      35222.3      192.493       35222.282
       10042.127      35231.0      192.279       35231.027
       10043.213      34802.4      191.379       34802.364
       10044.299      34181.1      189.306       34181.097
       10045.385      33656.6      187.950       33656.553
       10046.471      32717.9      185.310       32717.856
       10047.557      31242.9      181.711       31242.870
       10048.643      30234.0      178.588       30234.038
       10049.729      28166.3      172.916       28166.286
       10050.814      26932.9      169.333       26932.885
       10051.900      25531.5      165.866       25531.540
       10052.986      27360.2      170.718       27360.196
       10054.072      29268.3      176.154       29268.302
       10055.158      30811.3      180.196       30811.342
       10056.244      32516.4      185.083       32516.432
       10057.330      33553.6      187.720       33553.562
       10058.416      34317.8      190.097       34317.801
       10059.502      35441.0      192.871       35441.007
       10060.588      36190.9      194.923       36190.935
       10061.674      36536.5      195.859       36536.510
       10062.760      37329.4      198.303       37329.384
       10063.846      37803.6      199.259       37803.562
       10064.932      37911.8      199.261       37911.778
       10066.018      38048.7      199.379       38048.745
       10067.104      38310.2      200.051       38310.230
       10068.190      38973.0      202.081       38972.991
       10069.276      39456.4      203.169       39456.434
       10070.362      39878.8      203.995       39878.817
       10071.448      40323.8      205.121       40323.846
       10072.534      40584.9      205.625       40584.907
       10073.620      39984.9      205.388       39984.906
       10074.706      40623.2      206.048       40623.196
       10075.792      41243.5      207.423       41243.471
       10076.878      41553.4      208.199       41553.354
       10077.964      41834.5      209.256       41834.469
       10079.050      42235.6      209.650       42235.568
       10080.136      41918.5      209.250       41918.532
       10081.222      42374.6      210.066       42374.643
       10082.308      42827.2      211.835       42827.199
       10083.394      42976.1      211.984       42976.073
       10084.480      43709.5      213.514       43709.517
       10085.566      43431.2      213.037       43431.174
       10086.652      43975.2      214.418       43975.190
       10087.738      43388.5      212.661       43388.484
       10088.824      43885.1      214.048       43885.076
       10089.910      43861.2      213.790       43861.179
       10090.995      43859.2      213.917       43859.230
       10092.081      43664.1      213.160       43664.088
       10093.167      43062.9      212.073       43062.925
       10094.253      42594.5      210.630       42594.517
       10095.339      43465.2      212.788       43465.215
       10096.425      44140.6      214.287       44140.613
       10097.511      44859.4      216.062       44859.435
       10098.597      45464.1      217.317       45464.095
       10099.683      45720.6      218.429       45720.586
       10100.769      46016.6      218.699       46016.640
       10101.855      45312.5      217.169       45312.458
       10102.941      45387.6      217.374       45387.568
       10104.027      46004.1      218.822       46004.080
       10105.113      45952.3      218.698       45952.288
       10106.199      45737.7      218.356       45737.740
       10107.285      45800.6      218.570       45800.577
       10108.371      46122.6      219.381       46122.559
       10109.457      46307.6      219.316       46307.609
       10110.543      46181.7      219.369       46181.720
       10111.629      46210.3      219.494       46210.275
       10112.715      47133.5      221.279       47133.512
       10113.801      45861.0      218.426       45861.028
       10114.887      45875.2      218.646       45875.228
       10115.973      44993.3      216.594       44993.283
       10117.059      45902.5      218.451       45902.471
       10118.145      46461.4      219.837       46461.434
       10119.231      46471.7      219.990       46471.682
       10120.317      46379.3      219.353       46379.264
       10121.403      46754.6      220.590       46754.594
       10122.489      47065.2      221.459       47065.197
       10123.575      46585.8      220.292       46585.842
       10124.661      45521.7      217.796       45521.729
       10125.747      44955.2      216.515       44955.233
       10126.833      44749.9      216.139       44749.877
       10127.919      46333.1      219.851       46333.081
       10129.005      46974.7      221.366       46974.706
       10130.090      47144.3      221.404       47144.344
       10131.176      47781.9      222.980       47781.898
       10132.262      47579.2      222.608       47579.187
       10133.348      47978.1      223.402       47978.062
       10134.434      47829.2      223.550       47829.237
       10135.520      47752.7      222.835       47752.698
       10136.606      47592.1      222.395       47592.074
       10137.692      47381.1      221.941       47381.074
       10138.778      47643.2      222.810       47643.206
       10139.864      47951.5      223.348       47951.471
       10140.950      48712.3      225.203       48712.263
       10142.036      48105.0      223.676       48105.046
       10143.122      47963.1      223.523       47963.119
       10144.208      48585.7      224.775       48585.663
