   # lambda  flux(e-/s)    stddev 
   9936.787    -0.59000   0.03304 
   9937.873    -0.53007   0.03034 
   9938.959    -0.47710   0.03045 
   9940.045    -0.61508   0.03191 
   9941.131    -0.62595   0.03857 
   9942.217    -0.69226   0.10384 
   9943.303    -0.22962   0.11843 
   9944.389    -0.23158   0.12817 
   9945.475    -0.47251   0.15463 
   9946.561    -0.59022   0.15503 
   9947.647    -0.24246   0.16730 
   9948.733    -0.03990   0.20288 
   9949.819    -0.63949   0.17954 
   9950.905    -0.59592   0.14477 
   9951.991    -0.64526   0.10416 
   9953.077    -0.48590   0.07606 
   9954.163    -0.46574   0.04738 
   9955.249    -0.52885   0.03803 
   9956.335    -0.59575   0.04995 
   9957.421    -0.77376   0.11414 
   9958.507    -0.38683   0.15568 
   9959.593    -0.35224   0.20635 
   9960.679    -0.60627   0.16478 
   9961.765    -0.46178   0.11451 
   9962.851    -0.33835   0.91988 
   9963.937    -0.57340   0.16990 
   9965.023    -0.42394   0.15205 
   9966.109    -0.22898   0.13290 
   9967.195    -0.44480   0.06775 
   9968.281    -0.61227   0.03618 
   9969.367    -0.65696   0.03529 
   9970.452    -0.53467   0.03461 
   9971.538    -0.42914   0.03664 
   9972.624    -0.63380   0.05461 
   9973.710    -0.47863   0.09188 
   9974.796    -0.44257   0.09293 
   9975.882    -0.57391   0.09068 
   9976.968    -0.41678   0.07200 
   9978.054    -0.63744   0.05295 
   9979.140    -0.68208   0.04831 
   9980.226    -0.59501   0.04981 
   9981.312    -0.62322   0.05277 
   9982.398    -0.60747   0.05972 
   9983.484    -0.68254   0.09094 
   9984.570    -0.72774   0.04417 
   9985.656    -0.56251   0.03591 
   9986.742    -0.53416   0.04817 
   9987.828    -0.59806   0.03346 
   9988.914    -0.65316   0.03083 
   9990.000    -0.75021   0.03193 
   9991.086    -0.62708   0.07090 
   9992.172    -0.59862   0.03364 
   9993.258    -0.56579   0.03265 
   9994.344    -0.46507   0.03390 
   9995.430    -0.68990   0.03188 
   9996.516    -0.68003   0.03116 
   9997.602    -0.55844   0.03347 
   9998.688    -0.59205   0.03433 
   9999.774    -0.65987   0.03842 
  10000.860    -0.59752   0.06467 
  10001.946    -0.19364   0.08200 
  10003.032    -0.34583   0.08467 
  10004.118    -0.53922   0.08980 
  10005.204    -0.74596   0.05630 
  10006.290    -0.75850   0.03814 
  10007.376    -0.62182   0.03512 
  10008.462    -0.50518   0.03480 
  10009.548    -0.59766   0.03242 
  10010.633    -0.70235   0.03499 
  10011.719    -0.67783   0.05587 
  10012.805    -0.74003   0.10236 
  10013.891    -1.29696   0.21177 
  10014.977    -1.03017   0.26058 
  10016.063    -0.53837   0.25824 
  10017.149    -0.83435   0.22311 
  10018.235    -0.49949   0.12366 
  10019.321    -0.63566   0.05643 
  10020.407    -0.63695   0.03601 
  10021.493    -0.62868   0.04388 
  10022.579    -0.56417   0.05496 
  10023.665    -0.62072   0.05247 
  10024.751    -0.60181   0.05412 
  10025.837    -0.49958   0.08354 
  10026.923    -0.55308   0.12654 
  10028.009    -0.47468   0.14237 
  10029.095    -0.44416   0.13267 
  10030.181    -0.67448   0.09263 
  10031.267    -0.63041   0.04438 
  10032.353    -0.54776   0.03579 
  10033.439    -0.55338   0.03453 
  10034.525    -0.55065   0.03401 
  10035.611    -0.63256   0.03403 
  10036.697    -0.55751   0.03581 
  10037.783    -0.58516   0.03753 
  10038.869    -0.51364   0.04115 
  10039.955    -0.42861   0.04258 
  10041.041    -0.62175   0.04727 
  10042.127    -0.50949   0.04375 
  10043.213    -0.55767   0.06867 
  10044.299    -0.80760   0.08618 
  10045.385    -0.64569   0.08510 
  10046.471    -0.54995   0.08621 
  10047.557    -0.57582   0.08055 
  10048.643    -0.63449   0.05111 
  10049.729    -0.64212   0.03355 
  10050.814    -0.61630   0.03181 
  10051.900    -0.67713   0.03342 
  10052.986    -0.61398   0.03213 
  10054.072    -0.67840   0.03153 
  10055.158    -0.77398   0.03269 
  10056.244    -0.82732   0.03169 
  10057.330    -0.61498   0.03403 
  10058.416    -0.56242   0.03329 
  10059.502    -0.59608   0.04681 
  10060.588    -0.64585   0.07063 
  10061.674    -0.38576   0.11007 
  10062.760    -0.60734   0.12734 
  10063.846    -0.68101   0.11386 
  10064.932    -0.71389   0.12477 
  10066.018    -0.51457   0.06490 
  10067.104    -0.65335   0.05153 
  10068.190    -0.69996   0.05810 
  10069.276    -0.65940   0.06346 
  10070.362    -0.52704   0.06376 
  10071.448    -0.65565   0.07463 
  10072.534    -0.71625   0.08102 
  10073.620    -0.57288   0.08049 
  10074.706    -0.34437   0.07946 
  10075.792    -0.55561   0.05750 
  10076.878    -0.80187   0.04134 
  10077.964    -0.72310   0.03851 
  10079.050    -0.64994   0.03712 
  10080.136    -0.75091   0.03813 
  10081.222    -0.67379   0.04002 
  10082.308    -0.55629   0.05976 
  10083.394    -0.56179   0.14249 
  10084.480    -0.91031   0.18534 
  10085.566    -0.37041   0.18877 
  10086.652    -0.61646   0.16931 
  10087.738    -0.56571   0.08952 
  10088.824    -0.70814   0.04089 
  10089.910    -0.73209   0.03468 
  10090.995    -0.72096   0.03447 
  10092.081    -0.63386   0.03494 
  10093.167    -0.71906   0.03543 
  10094.253    -0.74183   0.03482 
  10095.339    -0.63792   0.03408 
  10096.425    -0.74820   0.03597 
  10097.511    -0.75419   0.05549 
  10098.597    -0.67765   0.04292 
  10099.683    -0.79533   0.04413 
  10100.769    -0.69314   0.04335 
  10101.855    -0.80056   0.04153 
  10102.941    -0.68736   0.04430 
  10104.027    -0.53752   0.08245 
  10105.113    -0.63018   0.12502 
  10106.199    -0.72206   0.12555 
  10107.285    -0.82655   0.12376 
  10108.371    -0.73134   0.08586 
  10109.457    -0.46663   0.04108 
  10110.543    -0.70162   0.03452 
  10111.629    -0.67835       nan 
  10112.715    -0.56032       nan 
  10113.801    -0.71768   0.03426 
  10114.887    -0.67610   0.03236 
  10115.973    -0.63082       nan 
  10117.059    -0.70478   0.03184 
  10118.145    -0.78845   0.03247 
  10119.231    -0.84689   0.03267 
  10120.317    -0.79781   0.03307 
  10121.403    -0.62462   0.03368 
  10122.489    -0.68063   0.03812 
  10123.575    -0.67414   0.05727 
  10124.661    -1.05605   0.13222 
  10125.747    -0.84115   0.20470 
  10126.833    -0.80589   0.21036 
  10127.919    -0.74688   0.20046 
  10129.005    -0.69620   0.11186 
  10130.090    -0.88341   0.04581 
  10131.176    -0.63781   0.03835 
  10132.262    -0.75502   0.03874 
  10133.348    -0.73575       nan 
  10134.434    -0.83153   0.06208 
  10135.520    -0.82341   0.05892 
  10136.606    -0.75762   0.05109 
  10137.692    -0.66227   0.04382 
  10138.778    -0.73118   0.03942 
  10139.864    -0.71798   0.04408 
  10140.950    -0.72649   0.04932 
  10142.036    -0.76745   0.03655 
  10143.122    -0.64603   0.04031 
  10144.208    -0.56041   0.04755 
  10145.294    -0.64588   0.06752 
  10146.380    -0.69625   0.06171 
  10147.466    -0.61215   0.06536 
  10148.552    -0.65920   0.06244 
  10149.638    -0.66499   0.06270 
  10150.724    -0.78303   0.06973 
  10151.810    -0.67950   0.06429 
  10152.896    -0.59600   0.07422 
  10153.982    -0.41524   0.11353 
  10155.068    -0.61092   0.13133 
  10156.154    -0.52089   0.13870 
  10157.240    -0.84993   0.12620 
  10158.326    -0.77218   0.07940 
  10159.412    -0.82083   0.08342 
  10160.498    -0.69949   0.09497 
  10161.584    -0.66735   0.09239 
  10162.670    -0.61751   0.08708 
  10163.756    -0.67348   0.05688 
  10164.842    -0.69599   0.05561 
  10165.928    -0.57733   0.07005 
  10167.014    -0.72271   0.07244 
  10168.100    -0.61331   0.07115 
  10169.186    -0.65593   0.06311 
  10170.271    -0.75158   0.05358 
  10171.357    -0.66690   0.07121 
  10172.443    -0.80398   0.15196 
  10173.529    -1.03949   0.22782 
  10174.615    -0.59591   0.25088 
  10175.701    -0.71604   0.23740 
  10176.787    -0.65585   0.13477 
  10177.873    -0.72911   0.04993 
  10178.959    -0.62258   0.03640 
  10180.045    -0.72365   0.03586 
  10181.131    -0.77063   0.04896 
  10182.217    -0.78188   0.10317 
  10183.303    -0.67241   0.10403 
  10184.389    -0.77866   0.09925 
  10185.475    -0.78262   0.08835 
  10186.561    -0.74727   0.06262 
  10187.647    -0.73080   0.05291 
  10188.733    -0.84261   0.05585 
  10189.819    -0.86420   0.07954 
  10190.905    -0.42280   0.16160 
  10191.991    -0.47265   0.19578 
  10193.077    -0.48077   0.18866 
  10194.163    -0.76798   0.15573 
  10195.249    -0.75527   0.06744 
  10196.335    -0.79195   0.04580 
  10197.421    -0.86703   0.04440 
  10198.507    -0.72060   0.04394 
  10199.593    -0.71379   0.04285 
  10200.679    -0.71395   0.04256 
  10201.765    -0.75610   0.04455 
  10202.851    -0.69184   0.06651 
  10203.937    -0.64288   0.10822 
  10205.023    -0.67137   0.12531 
  10206.109    -0.67256   0.12523 
  10207.195    -0.77413   0.11869 
  10208.281    -0.61990   0.08122 
  10209.367    -0.57425   0.09048 
  10210.452    -0.55797   0.13149 
  10211.538    -0.86294   0.17362 
  10212.624    -0.61446   0.25428 
  10213.710    -0.47444   0.22608 
  10214.796    -0.40180   0.20762 
  10215.882    -0.58964   0.13495 
  10216.968    -0.86854   0.05180 
  10218.054    -0.84092   0.03744 
  10219.140    -0.73838   0.03701 
  10220.226    -0.66240   0.03774 
  10221.312    -0.75368   0.04106 
  10222.398    -0.59939   0.04549 
  10223.484    -0.61758       nan 
  10224.570    -0.74774   0.04617 
  10225.656    -0.83262   0.06694 
  10226.742    -0.65750   0.13205 
  10227.828    -0.42556   0.15404 
  10228.914    -0.54563   0.15414 
  10230.000    -0.88082   0.14286 
  10231.086    -1.07571   0.11787 
  10232.172    -0.64699   0.12638 
  10233.258    -0.79559   0.13083 
  10234.344    -0.48840   0.13978 
  10235.430    -0.44143   0.09564 
  10236.516    -0.73441   0.04999 
  10237.602    -0.70360   0.04229 
  10238.688    -0.77261   0.03887 
  10239.774    -0.77266   0.03723 
  10240.860    -0.79239   0.03536 
  10241.946    -0.84815   0.03560 
  10243.032    -0.72818   0.03574 
  10244.118    -0.73358   0.03706 
  10245.204    -0.62897   0.03799 
  10246.290    -0.64666   0.04093 
  10247.376    -0.66772   0.03742 
  10248.462    -0.80399   0.03439 
  10249.548    -0.87641   0.03371 
  10250.633    -0.66071   0.03410 
  10251.719    -0.74229   0.03590 
  10252.805    -0.65650   0.03866 
  10253.891    -0.62986   0.03771 
  10254.977    -0.74151   0.07178 
  10256.063    -0.78172   0.03852 
  10257.149    -0.71678   0.04066 
  10258.235    -0.75683   0.04140 
  10259.321    -0.80949   0.04405 
  10260.407    -0.76077   0.04316 
  10261.493    -0.77832   0.04532 
  10262.579    -0.72974   0.05968 
  10263.665    -0.84377   0.04175 
  10264.751    -0.73110   0.04462 
  10265.837    -0.68625   0.04064 
  10266.923    -0.70920   0.04250 
  10268.009    -0.78769   0.07085 
  10269.095    -0.73704   0.04429 
  10270.181    -0.66833   0.04539 
  10271.267    -0.71181   0.05490 
  10272.353    -0.62864   0.08477 
  10273.439    -0.83499   0.08875 
  10274.525    -0.77214   0.09137 
  10275.611    -0.74213   0.07626 
  10276.697    -0.62552   0.04868 
  10277.783    -0.79171   0.04250 
  10278.869    -0.80815   0.04005 
  10279.955    -0.74538   0.03924 
  10281.041    -0.78308   0.04067 
  10282.127    -0.70039   0.04036 
  10283.213    -0.58426   0.04044 
  10284.299    -0.76967   0.05700 
  10285.385    -0.62257   0.07885 
  10286.471    -0.82436   0.14969 
  10287.557    -1.71104   0.29961 
  10288.643    -1.73527   0.39518 
  10289.729    -1.11159   0.44213 
  10290.814    -0.68956   0.38132 
  10291.900    -0.60903   0.14140 
  10292.986    -0.74692   0.06806 
  10294.072    -0.81524   0.07603 
  10295.158    -0.38307   0.07885 
  10296.244    -0.48046   0.11159 
  10297.330    -0.69600   0.20230 
  10298.416    -0.86078   0.20352 
  10299.502    -0.81079   0.20217 
  10300.588    -0.59902   0.16216 
  10301.674    -0.69636   0.06702 
  10302.760    -0.68022   0.04484 
  10303.846    -0.69122   0.04597 
  10304.932    -0.79822   0.05172 
  10306.018    -0.72233   0.05153 
  10307.104    -0.69077   0.06890 
  10308.190    -0.69478   0.05450 
  10309.276    -0.66679   0.06373 
  10310.362    -0.82496   0.09256 
  10311.448    -0.62814   0.11805 
  10312.534    -0.52849   0.11796 
  10313.620    -0.51304   0.10941 
  10314.706    -0.62584   0.07047 
  10315.792    -0.60455   0.04268 
  10316.878    -0.73573   0.04442 
  10317.964    -0.83450   0.03989 
  10319.050    -0.82844   0.05708 
  10320.136    -0.70260   0.04038 
  10321.222    -0.63524   0.05457 
  10322.308    -0.71586   0.09492 
  10323.394    -0.80325   0.04070 
  10324.480    -0.78290   0.04162 
  10325.566    -0.73754   0.04276 
  10326.652    -0.87176   0.04892 
  10327.738    -0.73483   0.29609 
  10328.824    -0.74818   0.06486 
  10329.910    -0.65548   0.07743 
  10330.995    -0.66719   0.06739 
  10332.081    -0.65434   0.05894 
  10333.167    -0.86880   0.05224 
  10334.253    -0.74158   0.03886 
  10335.339    -0.78660   0.03948 
  10336.425    -0.73052   0.04910 
  10337.511    -0.62752   0.03807 
  10338.597    -0.76119   0.07913 
  10339.683    -0.84637   0.04083 
  10340.769    -0.85135   0.05819 
  10341.855    -0.85677   0.08647 
  10342.941    -0.59626   0.20597 
  10344.027    -0.83440   0.13145 
  10345.113    -0.75489   0.05779 
  10346.199    -0.80163   0.04681 
  10347.285    -0.69636   0.06448 
  10348.371    -0.98147   0.14241 
  10349.457    -0.56014   0.25532 
  10350.543    -0.85730   0.18293 
  10351.629    -0.56304   0.17342 
  10352.715    -0.63291   0.08278 
  10353.801    -0.58715   0.06187 
  10354.887    -0.72289   0.08109 
  10355.973    -0.93994   0.08615 
  10357.059    -0.85746   0.08709 
  10358.145    -0.74454   0.08070 
  10359.231    -0.76420   0.05810 
  10360.317    -0.89915   0.04156 
  10361.403    -0.85210   0.03949 
  10362.489    -0.87956   0.04387 
  10363.575    -0.92231   0.04098 
  10364.661    -0.86499   0.03876 
  10365.747    -0.68918   0.04082 
  10366.833    -0.81378   0.04251 
  10367.919    -0.88663   0.14847 
  10369.005    -0.81144       nan 
  10370.090    -0.88303   0.04399 
  10371.176    -0.84696       nan 
  10372.262    -0.82638       nan 
  10373.348    -1.08441   0.20610 
  10374.434    -1.08835   0.36599 
  10375.520    -1.30649   1.02575 
  10376.606    -1.06489   0.30899 
  10377.692    -0.93209   0.20009 
  10378.778    -0.61931   0.08010 
  10379.864    -0.81821   0.04566 
  10380.950    -0.77968   0.04381 
  10382.036    -0.77909   0.04195 
  10383.122    -0.72883   0.07037 
  10384.208    -0.70665   0.04165 
  10385.294    -0.68630   0.04553 
  10386.380    -0.77255   0.04397 
  10387.466    -0.93492   0.06637 
  10388.552    -0.86491   0.04230 
  10389.638    -0.62735   0.04349 
  10390.724    -0.66051   0.04866 
  10391.810    -0.80692   0.05903 
  10392.896    -0.62397   0.04603 
  10393.982    -0.73287   0.04473 
  10395.068    -0.67561   0.04487 
  10396.154    -0.80270   0.05281 
  10397.240    -0.80096   0.11998 
  10398.326    -1.09507   0.19035 
  10399.412    -0.81337   0.22761 
  10400.498    -0.87549   0.20135 
  10401.584    -0.89199   0.10743 
  10402.670    -0.77902   0.05080 
  10403.756    -0.91648   0.04450 
  10404.842    -0.90582   0.06751 
  10405.928    -0.89547   0.07041 
  10407.014    -0.91270   0.04385 
  10408.100    -0.91159   0.04398 
  10409.186    -1.05830   0.04768 
  10410.271    -1.02121   0.05201 
  10411.357    -0.95222   0.05460 
  10412.443    -0.95881   0.05604 
  10413.529    -0.86555   0.05023 
  10414.615    -1.05042   0.04758 
  10415.701    -0.85143   0.04520 
  10416.787    -0.89532   0.05816 
  10417.873    -0.94219   0.08292 
  10418.959    -1.20052   0.28184 
  10420.045    -1.96733   0.31136 
  10421.131    -0.94393   0.32604 
  10422.217    -0.65056   0.36893 
  10423.303    -0.54868   0.19710 
  10424.389    -0.74864   0.08221 
  10425.475    -0.68528   0.06479 
  10426.561    -0.82961   0.08721 
  10427.647    -0.87910   0.05682 
  10428.733    -0.78794   0.05361 
  10429.819    -0.85173   0.06258 
  10430.905    -0.73817   0.06881 
  10431.991    -0.87097   0.06900 
  10433.077    -0.74708   0.06430 
  10434.163    -0.78596   0.05734 
  10435.249    -0.85442   0.04997 
  10436.335    -0.87482   0.04065 
  10437.421    -0.88288   0.03965 
  10438.507    -0.87797   0.03951 
  10439.593    -0.83855   0.03871 
  10440.679    -0.98828   0.03870 
  10441.765    -0.85534   0.04280 
  10442.851    -0.70111   0.03923 
  10443.937    -0.80611   0.04040 
  10445.023    -0.88873   0.04048 
  10446.109    -0.91510   0.04066 
  10447.195    -0.81270   0.04190 
  10448.281    -0.89046   0.04417 
  10449.367    -0.90500   0.04598 
  10450.452    -0.87054   0.07853 
  10451.538    -0.82394   0.13747 
  10452.624    -0.98233   0.17461 
  10453.710    -0.91354   0.18187 
  10454.796    -0.65484   0.18379 
  10455.882    -0.85664   0.07430 
  10456.968    -0.92136   0.04685 
  10458.054    -0.73764   0.04077 
  10459.140    -0.79331   0.04853 
  10460.226    -0.86621   0.05452 
  10461.312    -0.68267   0.04858 
  10462.398    -0.70568   0.04015 
  10463.484    -0.78204   0.04052 
  10464.570    -0.81840   0.04071 
  10465.656    -0.84398   0.04174 
  10466.742    -0.81142   0.10754 
  10467.828    -0.75640   0.05344 
  10468.914    -0.92464   0.09900 
  10470.000    -0.97350   0.20497 
  10471.086    -0.75425   0.26544 
  10472.172    -1.10667   0.33516 
  10473.258    -1.09115   0.24936 
  10474.344    -0.58945   0.10500 
  10475.430    -0.77098   0.05745 
  10476.516    -0.73166   0.05550 
  10477.602    -0.66483   0.04714 
  10478.688    -0.75976   0.04091 
  10479.774    -0.76573   0.04074 
  10480.860    -0.57620   0.04222 
  10481.946    -0.73680   0.04826 
  10483.032    -0.90214   0.04070 
  10484.118    -0.86335       nan 
  10485.204    -0.81749   0.04050 
  10486.290    -0.86147   0.04096 
  10487.376    -0.96127   0.04624 
  10488.462    -0.68214   0.05772 
  10489.548    -0.80707   0.06017 
  10490.633    -0.80482   0.06046 
  10491.719    -0.78557   0.05619 
  10492.805    -0.74238   0.05824 
  10493.891    -0.83291   0.04102 
  10494.977    -0.78407   0.04001 
  10496.063    -0.91205   0.04003 
  10497.149    -0.82246   0.04119 
  10498.235    -0.78159   0.04829 
  10499.321    -0.83403   0.04906 
  10500.407    -0.92127   0.05163 
  10501.493    -0.88502   0.05150 
  10502.579    -0.90418   0.05020 
  10503.665    -0.75380   0.04748 
  10504.751    -0.67856   0.05599 
  10505.837    -0.83286   0.05178 
  10506.923    -0.87924   0.04640 
  10508.009    -0.82099   0.04473 
  10509.095    -0.93620   0.05529 
  10510.181    -0.87074   0.10924 
  10511.267    -0.98134   0.19741 
  10512.353    -0.96703   0.14170 
  10513.439    -0.78866   0.12998 
  10514.525    -0.97352   0.07995 
  10515.611    -0.87571   0.09848 
  10516.697    -0.68782   0.06051 
  10517.783    -0.63567   0.06033 
  10518.869    -0.85588   0.05899 
  10519.955    -0.90465   0.05115 
  10521.041    -0.94097   0.04431 
  10522.127    -0.87931   0.04281 
  10523.213    -0.96894   0.04430 
  10524.299    -0.78043   0.05480 
  10525.385    -0.76379   0.13287 
  10526.471    -1.16182   0.18688 
  10527.557    -1.10623   0.21135 
  10528.643    -1.10652   0.18419 
  10529.729    -1.00084   0.12129 
  10530.814    -0.84089   0.09531 
  10531.900    -0.79152   0.09404 
  10532.986    -0.85283   0.03964 
  10534.072    -0.90723   0.03868 
  10535.158    -0.81836   0.03853 
  10536.244    -0.66953   0.03921 
  10537.330    -0.76866   0.03969 
  10538.416    -0.77124   0.04008 
  10539.502    -0.65160   0.03976 
  10540.588    -0.65204   0.05644 
  10541.674    -0.71326   0.03925 
  10542.760    -0.69489   0.04267 
  10543.846    -0.89027   0.04751 
  10544.932    -0.71964   0.04551 
  10546.018    -0.82866   0.04091 
  10547.104    -0.84582   0.04386 
  10548.190    -0.84867   0.04223 
  10549.276    -0.83647   0.03974 
  10550.362    -0.72079   0.03995 
  10551.448    -0.75668   0.07669 
  10552.534    -0.90604   0.04328 
  10553.620    -0.72656   0.05233 
  10554.706    -0.69270   0.06750 
  10555.792    -0.80770   0.05016 
  10556.878    -0.68677   0.04954 
  10557.964    -0.70305   0.04446 
  10559.050    -0.73486   0.03902 
  10560.136    -0.73643   0.05440 
  10561.222    -0.84195   0.04391 
  10562.308    -0.82198   0.04549 
  10563.394    -0.76501   0.04050 
  10564.480    -0.77099   0.03970 
  10565.566    -0.77825   0.03874 
  10566.652    -0.66509   0.13517 
  10567.738    -0.74393   0.04337 
  10568.824    -0.88080   0.03856 
  10569.910    -0.76801   0.03944 
  10570.995    -0.77953   0.03999 
  10572.081    -0.66327   0.04337 
  10573.167    -0.74293   0.06422 
  10574.253    -0.82228   0.09216 
  10575.339    -0.93320   0.09555 
  10576.425    -0.65041   0.09139 
  10577.511    -0.49030   0.06491 
  10578.597    -0.63629   0.04715 
  10579.683    -0.69052   0.04103 
  10580.769    -0.63551   0.07654 
  10581.855    -0.67920   0.04173 
  10582.941    -0.62187   0.03826 
  10584.027    -0.75138   0.03820 
  10585.113    -0.79076   0.04140 
  10586.199    -0.79281   0.06597 
  10587.285    -0.73739   0.13496 
  10588.371    -0.58470   0.12732 
  10589.457    -0.81168   0.12395 
  10590.543    -0.78773   0.10235 
  10591.629    -0.75536   0.05883 
  10592.715    -0.90795   0.04529 
