       9750.0000         -NaN         -NaN             NaN
       10049.729      10435.8      105.013       10435.842
       10050.814      9496.60      100.064       9496.5965
       10051.900      9083.57      98.5538       9083.5692
       10052.986      9076.49      98.4692       9076.4879
       10054.072      9917.53      102.473       9917.5286
       10055.158      10684.6      106.331       10684.577
       10056.244      11236.1      108.826       11236.069
       10057.330      11670.4      110.852       11670.362
       10058.416      12097.9      112.584       12097.939
       10059.502      12510.6      114.719       12510.573
       10060.588      12825.7      116.103       12825.658
       10061.674      12817.0      116.011       12817.027
       10062.760      13496.1      118.989       13496.141
       10063.846      13584.8      119.487       13584.763
       10064.932      13841.3      120.543       13841.283
       10066.018      14079.6      121.506       14079.648
       10067.104      14085.7      121.122       14085.697
       10068.190      14172.3      121.601       14172.292
       10069.276      14596.4      123.701       14596.385
       10070.362      14736.6      124.256       14736.614
       10071.448      14676.1      124.105       14676.097
       10072.534      14786.2      125.136       14786.170
       10073.620      15035.3      125.510       15035.274
       10074.706      15000.8      125.153       15000.754
       10075.792      15308.8      126.326       15308.801
       10076.878      15510.3      127.264       15510.347
       10077.964      15231.0      126.224       15231.025
       10079.050      15599.3      127.756       15599.271
       10080.136      15271.3      121.665       15271.254
       10081.222      11870.5      86.3076       11870.540
       10082.308      15536.2      124.658       15536.170
       10083.394      15854.1      128.828       15854.134
       10084.480      16012.2      129.540       16012.213
       10085.566      16112.5      130.034       16112.471
       10086.652      16242.2      130.660       16242.194
       10087.738      16531.2      131.611       16531.158
       10088.824      16644.8      131.868       16644.773
       10089.910      16513.7      131.295       16513.691
       10090.995      16638.9      131.729       16638.868
       10092.081      16350.4      130.601       16350.441
       10093.167      16197.6      130.082       16197.569
       10094.253      16362.3      130.707       16362.272
       10095.339      16664.3      131.781       16664.264
       10096.425      16619.1      131.622       16619.075
       10097.511      16635.0      131.785       16634.999
       10098.597      16721.5      131.879       16721.489
       10099.683      16906.6      132.637       16906.589
       10100.769      16704.1      131.779       16704.054
       10101.855      16901.9      132.656       16901.854
       10102.941      16799.3      132.486       16799.345
       10104.027      16890.9      132.785       16890.936
       10105.113      16800.8      132.376       16800.791
       10106.199      16938.7      133.184       16938.723
       10107.285      16986.8      133.334       16986.838
       10108.371      17216.1      134.179       17216.140
       10109.457      17176.0      133.923       17176.024
       10110.543      17013.6      133.093       17013.618
       10111.629      17191.8      133.850       17191.789
       10112.715      17121.7      133.479       17121.703
       10113.801      17212.0      133.855       17212.012
       10114.887      17102.8      133.243       17102.769
       10115.973      17146.8      133.687       17146.757
       10117.059      17247.9      134.251       17247.892
       10118.145      17301.9      134.120       17301.882
       10119.231      17414.7      134.508       17414.720
       10120.317      17309.1      134.023       17309.129
       10121.403      17159.7      133.589       17159.733
       10122.489      17273.2      133.997       17273.158
       10123.575      17537.1      135.247       17537.127
       10124.661      17464.5      135.223       17464.477
       10125.747      17296.4      134.681       17296.421
       10126.833      17334.4      135.126       17334.436
       10127.919      17417.4      135.458       17417.433
       10129.005      17554.7      135.893       17554.737
       10130.090      17450.6      134.998       17450.624
       10131.176      17630.3      135.461       17630.347
       10132.262      17616.5      135.202       17616.505
       10133.348      17669.9      135.331       17669.851
       10134.434      17670.0      135.493       17669.964
       10135.520      17618.0      135.406       17617.980
       10136.606      17607.2      135.459       17607.162
       10137.692      17536.8      134.989       17536.766
       10138.778      17568.4      135.208       17568.391
       10139.864      17591.5      135.253       17591.523
       10140.950      17558.4      135.042       17558.435
       10142.036      17573.6      135.181       17573.585
       10143.122      17572.7      135.268       17572.740
       10144.208      17345.5      134.262       17345.511
       10145.294      17362.8      134.418       17362.795
       10146.380      17627.0      135.520       17627.019
       10147.466      17563.6      135.406       17563.629
       10148.552      17698.5      135.806       17698.538
       10149.638      17706.8      135.859       17706.764
       10150.724      17867.4      136.441       17867.394
       10151.810      17847.6      136.442       17847.611
       10152.896      17789.6      136.288       17789.556
       10153.982      17967.1      137.088       17967.113
