   # lambda  flux(e-/s)    stddev 
  10018.235    -0.08608   0.09462 
  10019.321     0.03998   0.04633 
  10020.407     0.04451   0.02776 
  10021.493     0.06218   0.02703 
  10022.579     0.05427   0.03291 
  10023.665     0.03426   0.04568 
  10024.751     0.03332   0.04670 
  10025.837     0.01010   0.06393 
  10026.923    -0.10859   0.08803 
  10028.009    -0.10186   0.09112 
  10029.095    -0.01514   0.08864 
  10030.181    -0.13264   0.07025 
  10031.267    -0.01165   0.03437 
  10032.353     0.03080   0.02346 
  10033.439    -0.01006   0.02259 
  10034.525     0.02252   0.02257 
  10035.611    -0.02629   0.02283 
  10036.697     0.09137   0.02816 
  10037.783     0.01850   0.02548 
  10038.869     0.06987   0.03001 
  10039.955     0.11278   0.03536 
  10041.041     0.04935   0.02803 
  10042.127    -0.03546   0.02815 
  10043.213     0.07809   0.03403 
  10044.299     0.06372   0.04894 
  10045.385     0.05974   0.05788 
  10046.471     0.00672   0.05818 
  10047.557     0.08333   0.05482 
  10048.643     0.03631   0.03864 
  10049.729     0.01005   0.02341 
  10050.814    -0.07152   0.01985 
  10051.900     0.01574   0.01955 
  10052.986     0.00629   0.01961 
  10054.072    -0.09529   0.02188 
  10055.158    -0.02983   0.03194 
  10056.244    -0.05977   0.02337 
  10057.330    -0.04994   0.02809 
  10058.416    -0.04672   0.02512 
  10059.502    -0.06131   0.03667 
  10060.588    -0.09227   0.06304 
  10061.674    -0.18409   0.07258 
  10062.760     0.02606   0.08047 
  10063.846     0.19083   0.07860 
  10064.932    -0.07391   0.07036 
  10066.018    -0.23524   0.04793 
  10067.104    -0.01829   0.03582 
  10068.190     0.05115   0.03973 
  10069.276     0.00367   0.04346 
  10070.362    -0.07613   0.04527 
  10071.448     0.03312   0.05314 
  10072.534     0.06835   0.05740 
  10073.620     0.04241   0.05574 
  10074.706    -0.03192   0.05237 
  10075.792    -0.10144   0.04321 
  10076.878    -0.01610   0.02957 
  10077.964    -0.06272   0.02446 
  10079.050    -0.06888   0.02581 
  10080.136    -0.00671   0.03039 
  10081.222    -0.06194   0.03839 
  10082.308    -0.01165   0.05666 
  10083.394    -0.11663   0.10508 
  10084.480    -0.32176   0.12749 
  10085.566     0.08967   0.13173 
  10086.652     0.05934   0.11877 
  10087.738    -0.05229   0.06624 
  10088.824     0.10008   0.02991 
  10089.910     0.05128   0.07069 
  10090.995     0.02678   0.03497 
  10092.081    -0.02297   0.02305 
  10093.167    -0.06555   0.02272 
  10094.253    -0.07211   0.02297 
  10095.339    -0.00744   0.02487 
  10096.425     0.08783   0.02498 
  10097.511     0.03161   0.02749 
  10098.597     0.09363   0.03059 
  10099.683     0.06096   0.03288 
  10100.769    -0.05702   0.03084 
  10101.855     0.04325   0.07218 
  10102.941    -0.09103   0.04688 
  10104.027    -0.02112   0.05617 
  10105.113     0.05543   0.08221 
  10106.199     0.14985   0.08714 
  10107.285     0.24015   0.09626 
  10108.371     0.18175   0.06583 
  10109.457     0.09251   0.03450 
  10110.543    -0.00178   0.02245 
  10111.629    -0.03850   0.02216 
  10112.715    -0.04494   0.02092 
  10113.801     0.03828   0.02084 
  10114.887     0.05816   0.02082 
  10115.973     0.10807   0.02080 
  10117.059     0.05421   0.02405 
  10118.145     0.01358   0.02478 
  10119.231    -0.00896   0.02236 
  10120.317    -0.01953   0.02325 
  10121.403     0.05125   0.02773 
  10122.489     0.02374   0.03978 
  10123.575    -0.04391   0.06186 
  10124.661     0.21121   0.10422 
  10125.747     0.28452   0.14229 
  10126.833     0.08793   0.15706 
  10127.919     0.02602   0.14160 
  10129.005    -0.03088   0.09296 
  10130.090    -0.08653   0.03812 
  10131.176     0.10397   0.02648 
  10132.262    -0.00872   0.04256 
  10133.348    -0.07037   0.03237 
  10134.434    -0.00350   0.03581 
  10135.520     0.05799   0.03604 
  10136.606     0.06533   0.03455 
  10137.692     0.01967   0.03038 
  10138.778    -0.00443   0.02584 
  10139.864    -0.01126   0.02459 
  10140.950    -0.05968   0.02719 
  10142.036    -0.04381   0.04674 
  10143.122     0.09567   0.03184 
  10144.208    -0.00892   0.03474 
  10145.294    -0.03909   0.04806 
  10146.380     0.01030   0.05323 
  10147.466     0.03121   0.04607 
  10148.552    -0.08039   0.04449 
  10149.638    -0.05619   0.04479 
  10150.724     0.03783   0.04763 
  10151.810    -0.00203   0.04849 
  10152.896     0.13117   0.05702 
  10153.982     0.16299   0.08191 
  10155.068     0.11403   0.09766 
  10156.154    -0.08643   0.09514 
  10157.240     0.07530   0.08361 
  10158.326     0.05131   0.06220 
  10159.412     0.00648   0.05759 
  10160.498     0.02097   0.06135 
  10161.584     0.00647   0.06075 
  10162.670    -0.07162   0.05842 
  10163.756     0.04729   0.04518 
  10164.842     0.07333   0.04121 
  10165.928     0.00192   0.04817 
  10167.014    -0.01485   0.04897 
  10168.100     0.05733   0.04984 
  10169.186    -0.09798   0.04995 
  10170.271    -0.08748   0.05000 
  10171.357    -0.03776   0.06556 
  10172.443    -0.07103   0.11933 
  10173.529     0.05401   0.15500 
  10174.615     0.25100   0.15869 
  10175.701     0.06902   0.15159 
  10176.787    -0.12053   0.10925 
  10177.873    -0.08111   0.04485 
  10178.959    -0.07962   0.02830 
  10180.045    -0.03738   0.02921 
  10181.131     0.08841   0.03902 
  10182.217     0.03265   0.06050 
  10183.303    -0.10347   0.06777 
  10184.389    -0.15178   0.06755 
  10185.475    -0.12815   0.06262 
  10186.561    -0.02727   0.04603 
  10187.647     0.00781   0.03949 
  10188.733    -0.06348   0.04509 
  10189.819     0.04276   0.06834 
  10190.905    -0.19918   0.11983 
  10191.991     0.04262   0.13388 
  10193.077    -0.08609   0.15298 
  10194.163     0.13819   0.11771 
  10195.249     0.12501   0.05945 
  10196.335    -0.01133   0.03393 
  10197.421    -0.01207   0.03111 
  10198.507    -0.07731   0.03080 
  10199.593     0.00238   0.03089 
  10200.679     0.03215   0.03138 
  10201.765     0.04624   0.03473 
  10202.851    -0.06135   0.04398 
  10203.937     0.04430   0.07402 
  10205.023     0.25647   0.08610 
  10206.109     0.11484   0.08536 
  10207.195     0.10130   0.08591 
  10208.281     0.20444   0.07169 
