       9750.0000         -NaN         -NaN             NaN
       10353.801      18505.1      139.128       18505.121
       10354.887      18631.4      139.593       18631.365
       10355.973      18488.9      138.948       18488.900
       10357.059      18487.5      138.892       18487.483
       10358.145      18350.8      138.410       18350.797
       10359.231      18440.9      138.720       18440.935
       10360.317      18530.0      138.920       18529.996
       10361.403      18320.0      138.270       18319.997
       10362.489      18515.0      138.924       18514.993
       10363.575      18565.2      139.136       18565.171
       10364.661      18490.5      138.685       18490.481
       10365.747      18737.5      139.631       18737.527
       10366.833      18715.8      139.575       18715.826
       10367.919      18703.1      139.650       18703.078
       10369.005      18794.7      139.940       18794.715
       10370.090      18742.1      139.769       18742.117
       10371.176      18724.6      139.588       18724.550
       10372.262      18826.0      140.268       18825.960
       10373.348      18824.0      141.057       18823.981
       10374.434      18817.0      141.219       18816.999
       10375.520      18667.9      140.739       18667.950
       10376.606      18774.0      141.107       18774.023
       10377.692      18832.1      141.066       18832.064
       10378.778      18928.1      140.729       18928.109
       10379.864      18826.7      140.099       18826.656
       10380.950      18924.1      140.532       18924.117
       10382.036      18771.1      140.001       18771.104
       10383.122      18888.7      140.247       18888.735
       10384.208      18919.8      140.389       18919.819
       10385.294      18992.9      140.931       18992.891
       10386.380      18939.5      140.659       18939.518
       10387.466      18871.2      140.330       18871.202
       10388.552      18905.9      140.455       18905.872
       10389.638      18954.7      140.634       18954.687
       10390.724      18868.7      140.366       18868.687
       10391.810      18881.9      140.341       18881.899
       10392.896      18872.8      140.118       18872.762
       10393.982      18949.0      140.582       18949.048
       10395.068      19021.5      140.866       19021.473
       10396.154      18990.4      140.775       18990.445
       10397.240      19068.5      141.424       19068.544
       10398.326      19277.8      142.383       19277.786
       10399.412      19390.2      142.832       19390.177
       10400.498      19258.5      142.210       19258.473
       10401.584      19333.7      142.280       19333.695
       10402.670      19199.2      141.548       19199.229
       10403.756      19239.3      141.745       19239.303
       10404.842      19363.1      141.998       19363.099
       10405.928      19354.9      142.048       19354.902
       10407.014      19299.1      141.828       19299.080
       10408.100      19132.8      141.300       19132.831
       10409.186      19131.1      141.254       19131.113
       10410.271      19194.5      141.585       19194.453
       10411.357      19128.8      141.307       19128.784
       10412.443      18895.0      140.898       18894.997
       10413.529      18826.6      140.918       18826.552
       10414.615      19193.9      142.074       19193.894
       10415.701      19154.3      141.652       19154.257
       10416.787      19348.5      142.200       19348.540
       10417.873      19397.2      142.578       19397.244
       10418.959      19310.9      142.980       19310.904
       10420.045      19446.8      143.650       19446.801
       10421.131      19531.3      143.937       19531.292
       10422.217      19456.9      143.752       19456.891
       10423.303      19398.3      143.284       19398.306
       10424.389      19258.0      142.171       19258.035
       10425.475      19215.5      141.670       19215.502
       10426.561      19315.7      142.081       19315.707
       10427.647      19241.7      141.709       19241.689
       10428.733      19261.6      141.899       19261.556
       10429.819      18916.7      140.604       18916.678
       10430.905      18940.7      140.501       18940.732
       10431.991      19318.2      142.053       19318.178
       10433.077      19302.7      141.923       19302.679
       10434.163      19212.3      141.549       19212.258
       10435.249      19156.1      141.351       19156.055
       10436.335      19045.0      140.977       19045.035
       10437.421      19345.4      142.002       19345.383
       10438.507      19621.7      143.041       19621.683
       10439.593      19544.9      142.722       19544.857
       10440.679      19348.7      142.056       19348.714
       10441.765      19485.6      142.565       19485.583
       10442.851      19455.5      142.394       19455.530
       10443.937      19441.7      142.296       19441.660
       10445.023      19573.5      142.865       19573.472
       10446.109      19450.7      142.578       19450.665
       10447.195      19449.4      142.654       19449.425
       10448.281      19433.7      142.447       19433.746
       10449.367      19490.8      142.649       19490.819
       10450.452      19531.4      143.011       19531.397
       10451.538      19617.9      143.504       19617.884
       10452.624      19550.5      143.163       19550.522
       10453.710      19385.1      142.404       19385.129
       10454.796      19480.5      142.773       19480.462
       10455.882      19350.7      142.200       19350.683
       10456.968      19076.0      141.130       19076.002
       10458.054      18847.4      140.253       18847.396
       10459.140      18982.8      140.537       18982.775
       10460.226      19061.7      140.888       19061.687
       10461.312      19029.3      140.913       19029.252
       10462.398      18881.7      140.130       18881.683
       10463.484      19205.4      141.317       19205.406
       10464.570      19377.2      142.012       19377.156
       10465.656      19279.7      141.662       19279.731
       10466.742      19067.2      140.989       19067.186
