            ID         z             Ha        Ha_err          NII_1     NII_1_err          NII_2     NII_2_err          SII_1      SII_1_err          SII_2      SII_2_err        OII3727    OII3727_err             Hb         Hb_err       OIII4959   OIII4959_err       OIII5007   OIII5007_err   ew_Ha   ew_Hb 
    p3_1628948   0.68085  -9.990000e+02  5.914095e-18   1.374828e-17  4.138680e-18   2.493566e-17  2.299742e-18  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    13.7  -999.0 
    p3_1629789   0.67937   6.560250e-17  4.275519e-18  -9.990000e+02  2.612294e-18   2.507291e-17  1.185849e-18  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    41.2  -999.0 
    p3_1636181   0.68310   9.224698e-17  9.185028e-19   3.838394e-18  9.565246e-19   5.715092e-18  9.885251e-19  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    80.4  -999.0 
    p4_1666614   0.56124   1.381264e-16  8.290715e-19  -9.990000e+02  2.047713e-18   1.336192e-17  1.465116e-18   2.186180e-17   9.234708e-19   1.630834e-17   1.661530e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02   118.4  -999.0 
    p1_1239589   0.61617   3.837450e-17  1.220350e-18  -9.990000e+02  1.969302e-18  -9.990000e+02  1.419965e-18   1.939121e-17   3.166503e-18  -9.990000e+02   1.961351e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    60.1  -999.0 
    p1_1240272   0.63701  -9.990000e+02  1.947177e-18  -9.990000e+02  2.328501e-18  -9.990000e+02  1.626921e-18   4.013002e-18   1.024937e-18  -9.990000e+02   1.323466e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    78.8  -999.0 
    p1_1241946   0.66763   3.127277e-17  2.010454e-18  -9.990000e+02  6.467968e-18  -9.990000e+02  1.225773e-17  -9.990000e+02   2.695959e-18  -9.990000e+02   2.704414e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    31.5  -999.0 
    p1_1245213   0.67000  -9.990000e+02  2.131141e-17  -9.990000e+02  2.131485e-17  -9.990000e+02  1.617148e-17  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02     3.5  -999.0 
    p1_1248520   0.66894  -9.990000e+02  7.626755e-18  -9.990000e+02  1.183483e-17   1.085709e-17  2.287289e-18   2.379079e-17   6.169644e-18   1.069057e-17   2.351542e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    20.7  -999.0 
    p1_1249852   0.68300  -9.990000e+02  3.760828e-18  -9.990000e+02  3.999338e-18  -9.990000e+02  5.408718e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02     7.0  -999.0 
    p1_1274319   0.68800  -9.990000e+02  4.644707e-18  -9.990000e+02  2.754529e-18  -9.990000e+02  2.353075e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02   112.1  -999.0 
    p1_1638959   0.67721  -9.990000e+02  3.454805e-17  -9.990000e+02  6.182069e-17   8.224333e-17  1.168958e-17  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    28.0  -999.0 
    p2_1234740   0.52300  -9.990000e+02  2.312867e-15  -9.990000e+02  3.269505e-15  -9.990000e+02  3.957353e-15  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    32.9  -999.0 
    p2_1237931   0.57171   3.545974e-17  1.536395e-18   1.076206e-17  2.909359e-18  -9.990000e+02  2.086644e-18   5.365166e-18   7.550938e-19  -9.990000e+02   1.061624e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    59.9  -999.0 
    p2_1245927   0.57900  -9.990000e+02  5.943467e-18  -9.990000e+02  7.311770e-18  -9.990000e+02  1.976664e-17  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02     8.2  -999.0 
    p2_1249406   0.50200  -9.990000e+02  1.090254e-16  -9.990000e+02  8.756412e-17  -9.990000e+02  8.016866e-17  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    11.9  -999.0 
